iter	Logloss
0	0.6711954396
1	0.6528033852
2	0.640920016
3	0.6239535794
4	0.6082251099
5	0.5969583561
6	0.5866589218
7	0.5737205763
8	0.55865849
9	0.5491076339
10	0.5437212623
11	0.5328088791
12	0.5226112719
13	0.5177680291
14	0.508011991
15	0.5000624484
16	0.4904997137
17	0.4837732804
18	0.4786208132
19	0.4746171667
20	0.4670141265
21	0.4629725909
22	0.4551904939
23	0.4493036569
24	0.4442321243
25	0.437588268
26	0.4321383785
27	0.4276005407
28	0.4218965418
29	0.4179651597
30	0.4139083461
31	0.4110584092
32	0.4074930088
33	0.4038561844
34	0.4013031732
35	0.3967769847
36	0.3935684376
37	0.388474141
38	0.3855438041
39	0.3819064068
40	0.378606918
41	0.3742396196
42	0.3707051188
43	0.3684640056
44	0.3645850648
45	0.3602226171
46	0.3573789441
47	0.3550199239
48	0.3493494218
49	0.3476422325
50	0.3455002347
51	0.3427006766
52	0.3387231552
53	0.3362873636
54	0.3317662551
55	0.3285436905
56	0.326560468
57	0.3218907821
58	0.3189602925
59	0.3143066483
60	0.3116145319
61	0.3088506095
62	0.3063971528
63	0.3041469302
64	0.3004798555
65	0.2983039407
66	0.2946948074
67	0.2931463363
68	0.2885243365
69	0.2865782966
70	0.2835940479
71	0.2816385548
72	0.2792923489
73	0.2773726061
74	0.2741788594
75	0.2709982327
76	0.2675248052
77	0.263911967
78	0.2602525885
79	0.2585131248
80	0.2566908549
81	0.2535760949
82	0.251166734
83	0.2495120434
84	0.2476125629
85	0.2449423512
86	0.2417913062
87	0.239396192
88	0.2356034376
89	0.2336560609
90	0.2314915854
91	0.2286566972
92	0.2266076462
93	0.2245847776
94	0.2225521312
95	0.2208516643
96	0.2174518571
97	0.2155040412
98	0.2131993147
99	0.2122840929
100	0.2103679022
101	0.2088765131
102	0.2055742744
103	0.2039184188
104	0.2024847993
105	0.2009182048
106	0.198617336
107	0.1960417326
108	0.1937537927
109	0.1915710602
110	0.1882283541
111	0.1862577551
112	0.1835784721
113	0.1816318402
114	0.1801047964
115	0.1787289654
116	0.1768755286
117	0.1751641189
118	0.1731757211
119	0.170937377
120	0.1696819549
121	0.1685330005
122	0.1675891327
123	0.1657560919
124	0.1650754048
125	0.1637810622
126	0.1624445718
127	0.1612904421
128	0.1594087794
129	0.1577336642
130	0.1563266568
131	0.155426436
132	0.1542702151
133	0.1532174732
134	0.1519506404
135	0.150848551
136	0.1495324184
137	0.1486333339
138	0.1478638918
139	0.1469566813
140	0.146011343
141	0.1445194287
142	0.1430971148
143	0.140827136
144	0.1395251354
145	0.1378789336
146	0.1368458143
147	0.1358276864
148	0.134752486
149	0.1334617911
150	0.1322662105
151	0.1305341852
152	0.1291385025
153	0.128371925
154	0.1270556396
155	0.1261854971
156	0.125109743
157	0.1242421595
158	0.1227407634
159	0.1220278782
160	0.1205167042
161	0.1198308226
162	0.1186753943
163	0.117706633
164	0.1163560392
165	0.1153433254
166	0.1146244818
167	0.1127557671
168	0.1113930942
169	0.1109098165
170	0.1097273367
171	0.1085949493
172	0.1071513609
173	0.1063757408
174	0.1054742787
175	0.1045599545
176	0.1037995263
177	0.1030876437
178	0.1023911248
179	0.1016063189
180	0.1007844736
181	0.09976627889
182	0.09848686094
183	0.09790697921
184	0.09728068136
185	0.0960754089
186	0.09558475957
187	0.09448418838
188	0.09370198924
189	0.09309162813
190	0.09245454982
191	0.09186980781
192	0.09140279147
193	0.09041000576
194	0.08986630398
195	0.0896048516
196	0.08912463898
197	0.08821380959
198	0.08752796617
199	0.08713270815
